Order_ID,Distribution_Center_ID,Customer_ZIP,Delivery_Type,Service_Type,Cost,Event_Type,Holiday_Flag,Carrier_Reliability_Score
ORD0001,DC3,47351,Ground,Ground,48.34,None,1,
ORD0002,DC4,21961,Air,Ground,180.23,Graduation,0,
ORD0003,DC5,39585,Ground,Standard Overnight,240.85,Graduation,0,
ORD0004,DC3,81013,Air,Priority Overnight,35.6,Birthday,0,
ORD0005,DC3,40187,Ground,Priority Overnight,200.2,Bridal Shower,0,
ORD0006,DC2,74460,Air,Ground,270.11,Bridal Shower,1,
ORD0007,DC1,52439,Air,Ground,191.46,Wedding,0,
ORD0008,DC2,98168,Ground,Priority Overnight,24.05,Retirement,1,
ORD0009,DC2,21681,Ground,Ground,192.35,Holiday,0,
ORD0010,DC3,10698,Air,Priority Overnight,259.99,Bridal Shower,1,
ORD0011,DC1,15139,Ground,Ground,111.35,Bridal Shower,0,
ORD0012,DC2,29796,Ground,Priority Overnight,120.87,Retirement,0,
ORD0013,DC3,83418,Ground,Ground,294.17,Holiday,0,
ORD0014,DC2,57970,Ground,Standard Overnight,215.26,Wedding,1,
ORD0015,DC3,62125,Ground,Ground,30.18,Holiday,0,
ORD0016,DC2,56635,Ground,Standard Overnight,93.4,Gender Reveal,0,
ORD0017,DC4,72163,Air,Standard Overnight,280.23,Gender Reveal,0,
ORD0018,DC5,70302,Air,Ground,252.21,Gender Reveal,1,
ORD0019,DC5,64887,Ground,Priority Overnight,218.22,Bridal Shower,1,
ORD0020,DC5,83248,Air,Ground,24.3,None,1,
ORD0021,DC1,42328,Ground,Priority Overnight,299.63,Wedding,1,
ORD0022,DC1,72366,Ground,Ground,89.1,Bridal Shower,0,
ORD0023,DC1,91162,Ground,Standard Overnight,104.08,Retirement,1,
ORD0024,DC5,43208,Ground,Ground,221.19,First Communion,0,
ORD0025,DC6,81869,Ground,Ground,256.06,Bridal Shower,0,
ORD0026,DC5,33638,Ground,Ground,284.29,Retirement,1,
ORD0027,DC4,50879,Air,Standard Overnight,12.35,Gender Reveal,0,
ORD0028,DC4,19767,Air,Priority Overnight,151.55,Bridal Shower,1,
ORD0029,DC1,21468,Ground,Standard Overnight,154.61,Birthday,0,
ORD0030,DC1,98844,Ground,Standard Overnight,240.81,Bridal Shower,1,
ORD0031,DC3,33324,Air,Ground,129.98,Gender Reveal,0,
ORD0032,DC6,80489,Air,Standard Overnight,97.97,Retirement,0,
ORD0033,DC1,70672,Air,Priority Overnight,125.22,Gender Reveal,0,
ORD0034,DC1,14690,Air,Priority Overnight,153.44,Wedding,0,
ORD0035,DC6,57298,Ground,Ground,290.65,Birthday,0,
ORD0036,DC4,52111,Ground,Standard Overnight,84.01,Retirement,1,
ORD0037,DC2,92358,Air,Ground,11.95,Birthday,1,
ORD0038,DC2,06958,Ground,Ground,34.88,Gender Reveal,1,
ORD0039,DC2,56817,Air,Standard Overnight,96.27,Graduation,0,
ORD0040,DC2,70357,Air,Standard Overnight,107.97,None,0,
ORD0041,DC5,00645,Air,Ground,140.39,Wedding,0,
ORD0042,DC6,51149,Air,Ground,207.89,Graduation,1,
ORD0043,DC5,69102,Air,Ground,18.07,Gender Reveal,1,
ORD0044,DC6,55531,Ground,Ground,24.84,Holiday,1,
ORD0045,DC6,50209,Air,Priority Overnight,31.15,Retirement,1,
ORD0046,DC1,09242,Ground,Standard Overnight,103.75,Gender Reveal,1,
ORD0047,DC1,47427,Ground,Priority Overnight,52.62,Holiday,0,
ORD0048,DC4,22972,Air,Ground,258.16,Retirement,1,
ORD0049,DC2,14345,Air,Standard Overnight,144.7,First Communion,1,
ORD0050,DC5,13170,Air,Priority Overnight,128.97,First Communion,1,
ORD0051,DC2,29057,Air,Standard Overnight,101.01,Gender Reveal,0,
