Transaction_ID,Order_ID,Carrier_ID,Route_ID,Shipping_Cost,Transaction_Date,Scheduled_Delivery_Date,Actual_Delivery_Date,Shipping_Date
TXN0001,ORD9751,C3,R288,226.97,2024-02-25,2024-02-27,2024-02-27,2024-02-26
TXN0002,ORD6078,C3,R233,244.86,2024-07-06,2024-07-09,2024-07-09,2024-07-08
TXN0003,ORD0772,C1,R130,261.09,2024-06-01,2024-06-05,2024-06-05,2024-06-04
TXN0004,ORD7239,C5,R188,110.46,2024-08-17,2024-08-22,2024-08-22,2024-08-19
TXN0005,ORD4369,C4,R190,229.62,2024-01-17,2024-01-20,2024-01-20,2024-01-17
TXN0006,ORD7808,C4,R206,217.57,2024-08-24,2024-08-27,2024-08-27,2024-08-26
TXN0007,ORD7811,C5,R83,297.45,2024-01-02,2024-01-07,2024-01-07,2024-01-06
TXN0008,ORD3435,C3,R155,261.97,2024-06-02,2024-06-06,2024-06-06,2024-06-04
TXN0009,ORD4027,C5,R97,279.41,2024-08-11,2024-08-13,2024-08-13,2024-08-12
TXN0010,ORD6141,C5,R300,179.64,2024-10-16,2024-10-18,2024-10-18,2024-10-17
TXN0011,ORD9126,C3,R73,288.72,2024-06-18,2024-06-21,2024-06-21,2024-06-20
TXN0012,ORD0969,C3,R204,86.03,2024-01-15,2024-01-19,2024-01-19,2024-01-16
TXN0013,ORD2850,C4,R257,191.21,2024-05-07,2024-05-09,2024-05-09,2024-05-08
TXN0014,ORD5006,C5,R203,127.94,2024-01-07,2024-01-08,2024-01-08,2024-01-06
TXN0015,ORD7653,C4,R257,183.02,2024-11-03,2024-11-05,2024-11-05,2024-11-03
TXN0016,ORD8094,C2,R30,59.06,2024-03-22,2024-03-23,2024-03-23,2024-03-20
TXN0017,ORD1943,C3,R27,27.35,2024-04-17,2024-04-19,2024-04-19,2024-04-16
TXN0018,ORD6623,C6,R153,113.23,2024-08-05,2024-08-10,2024-08-10,2024-08-07
TXN0019,ORD8293,C1,R4,157.84,2024-11-05,2024-11-09,2024-11-09,2024-11-08
TXN0020,ORD6290,C6,R21,102.82,2024-03-24,2024-03-28,2024-03-28,2024-03-26
TXN0021,ORD6953,C1,R78,88.95,2024-08-05,2024-08-07,2024-08-07,2024-08-04
TXN0022,ORD2861,C6,R276,167.69,2024-04-06,2024-04-07,2024-04-07,2024-04-06
TXN0023,ORD6155,C1,R33,57.94,2024-04-22,2024-04-24,2024-04-24,2024-04-22
TXN0024,ORD2258,C1,R273,19.77,2024-10-17,2024-10-21,2024-10-21,2024-10-19
TXN0025,ORD3347,C4,R267,172.73,2024-07-21,2024-07-22,2024-07-22,2024-07-21
TXN0026,ORD5191,C6,R63,219.5,2024-05-05,2024-05-10,2024-05-10,2024-05-09
TXN0027,ORD4591,C6,R212,114.37,2024-10-12,2024-10-13,2024-10-13,2024-10-11
TXN0028,ORD5511,C3,R26,134.09,2024-08-18,2024-08-22,2024-08-22,2024-08-19
TXN0029,ORD5248,C6,R9,129.98,2024-11-14,2024-11-18,2024-11-18,2024-11-15
TXN0030,ORD9347,C1,R144,107.7,2024-04-12,2024-04-16,2024-04-16,2024-04-15
TXN0031,ORD9731,C1,R176,45.15,2024-11-13,2024-11-18,2024-11-18,2024-11-15
TXN0032,ORD6165,C1,R65,32.43,2024-07-12,2024-07-15,2024-07-15,2024-07-12
TXN0033,ORD6933,C5,R195,246.1,2024-03-15,2024-03-18,2024-03-18,2024-03-15
TXN0034,ORD2697,C3,R99,142.36,2024-06-08,2024-06-11,2024-06-11,2024-06-08
TXN0035,ORD5840,C1,R195,74.87,2024-10-08,2024-10-11,2024-10-11,2024-10-09
TXN0036,ORD6933,C5,R4,226.22,2024-05-25,2024-05-29,2024-05-29,2024-05-26
TXN0037,ORD1060,C6,R22,131.35,2024-07-16,2024-07-21,2024-07-21,2024-07-20
TXN0038,ORD5032,C6,R96,33.05,2024-04-06,2024-04-08,2024-04-08,2024-04-06
TXN0039,ORD7199,C6,R33,118.16,2024-07-08,2024-07-11,2024-07-11,2024-07-08
TXN0040,ORD7199,C2,R14,243.63,2024-03-13,2024-03-17,2024-03-17,2024-03-14
TXN0041,ORD5993,C4,R26,155.95,2024-07-07,2024-07-08,2024-07-08,2024-07-05
TXN0042,ORD6485,C5,R63,174.98,2024-08-08,2024-08-13,2024-08-13,2024-08-10
TXN0043,ORD6954,C5,R164,48.71,2024-02-25,2024-02-29,2024-02-29,2024-02-28
TXN0044,ORD3057,C6,R290,251.34,2024-11-05,2024-11-10,2024-11-10,2024-11-07
TXN0045,ORD3218,C1,R150,121.74,2024-08-20,2024-08-21,2024-08-21,2024-08-18
TXN0046,ORD8333,C3,R120,221.7,2024-08-13,2024-08-14,2024-08-14,2024-08-11
TXN0047,ORD1538,C1,R240,75.58,2024-03-28,2024-03-29,2024-03-29,2024-03-27
TXN0048,ORD5559,C3,R43,187.69,2024-09-20,2024-09-23,2024-09-23,2024-09-20
TXN0049,ORD7313,C4,R281,78.79,2024-09-01,2024-09-06,2024-09-06,2024-09-03
TXN0050,ORD7175,C2,R6,168.0,2024-05-07,2024-05-09,2024-05-09,2024-05-06
TXN0051,ORD6331,C2,R164,93.65,2024-08-09,2024-08-13,2024-08-13,2024-08-10
TXN0052,ORD5258,C4,R190,218.2,2024-08-26,2024-08-31,2024-08-31,2024-08-30
TXN0053,ORD5225,C2,R101,131.41,2024-10-01,2024-10-05,2024-10-05,2024-10-02
TXN0054,ORD8783,C2,R74,296.23,2024-01-07,2024-01-11,2024-01-11,2024-01-08
TXN0055,ORD1632,C2,R197,93.39,2024-10-17,2024-10-22,2024-10-22,2024-10-19
TXN0056,ORD2107,C2,R299,239.5,2024-04-02,2024-04-06,2024-04-06,2024-04-05
TXN0057,ORD5788,C4,R72,139.85,2024-07-17,2024-07-21,2024-07-21,2024-07-18
TXN0058,ORD8135,C3,R279,296.01,2024-08-09,2024-08-14,2024-08-14,2024-08-13
TXN0059,ORD0584,C4,R223,235.64,2024-08-07,2024-08-08,2024-08-08,2024-08-07
TXN0060,ORD5586,C6,R250,157.2,2024-01-19,2024-01-23,2024-01-23,2024-01-21
TXN0061,ORD6499,C3,R108,145.85,2024-05-08,2024-05-11,2024-05-11,2024-05-09
TXN0062,ORD5039,C3,R66,86.68,2024-02-17,2024-02-20,2024-02-20,2024-02-19
TXN0063,ORD1405,C2,R289,121.91,2024-10-23,2024-10-25,2024-10-25,2024-10-23
TXN0064,ORD1181,C1,R183,128.49,2024-10-11,2024-10-16,2024-10-16,2024-10-13
TXN0065,ORD1565,C2,R125,273.92,2024-10-26,2024-10-27,2024-10-27,2024-10-26
TXN0066,ORD3965,C3,R147,67.56,2024-03-23,2024-03-28,2024-03-28,2024-03-26
TXN0067,ORD1798,C1,R122,160.47,2024-05-07,2024-05-08,2024-05-08,2024-05-07
TXN0068,ORD4991,C2,R248,145.03,2024-08-07,2024-08-08,2024-08-08,2024-08-07
TXN0069,ORD6472,C6,R151,154.71,2024-09-15,2024-09-20,2024-09-20,2024-09-18
TXN0070,ORD6666,C1,R216,18.8,2024-04-17,2024-04-22,2024-04-22,2024-04-21
TXN0071,ORD1322,C6,R55,44.04,2024-04-01,2024-04-03,2024-04-03,2024-03-31
TXN0072,ORD2139,C3,R26,64.83,2024-07-30,2024-08-03,2024-08-03,2024-08-02
TXN0073,ORD8995,C2,R233,260.4,2024-10-07,2024-10-10,2024-10-10,2024-10-08
TXN0074,ORD6738,C1,R291,286.59,2024-04-22,2024-04-24,2024-04-24,2024-04-21
TXN0075,ORD6487,C1,R261,147.15,2024-09-03,2024-09-05,2024-09-05,2024-09-03
TXN0076,ORD9790,C3,R27,16.47,2024-08-18,2024-08-19,2024-08-19,2024-08-18
TXN0077,ORD9861,C2,R128,230.76,2024-02-15,2024-02-16,2024-02-16,2024-02-14
TXN0078,ORD3166,C3,R168,177.33,2024-11-18,2024-11-23,2024-11-23,2024-11-20
TXN0079,ORD1892,C5,R10,236.96,2024-07-03,2024-07-07,2024-07-07,2024-07-06
TXN0080,ORD5324,C5,R244,69.44,2024-06-28,2024-06-30,2024-06-30,2024-06-27
TXN0081,ORD9014,C1,R246,205.15,2024-11-18,2024-11-20,2024-11-20,2024-11-18
TXN0082,ORD7576,C1,R247,289.46,2024-08-19,2024-08-22,2024-08-22,2024-08-20
TXN0083,ORD3106,C3,R42,267.65,2024-06-28,2024-07-02,2024-07-02,2024-06-29
TXN0084,ORD7227,C5,R106,22.08,2024-06-05,2024-06-08,2024-06-08,2024-06-07
TXN0085,ORD0416,C3,R38,144.83,2024-10-04,2024-10-07,2024-10-07,2024-10-04
TXN0086,ORD3492,C2,R263,251.07,2024-04-09,2024-04-11,2024-04-11,2024-04-09
TXN0087,ORD1552,C1,R285,221.93,2024-04-06,2024-04-09,2024-04-09,2024-04-06
TXN0088,ORD1659,C4,R193,292.85,2024-01-15,2024-01-20,2024-01-20,2024-01-19
TXN0089,ORD8432,C6,R257,265.02,2024-09-09,2024-09-14,2024-09-14,2024-09-13
TXN0090,ORD1393,C6,R86,237.41,2024-11-19,2024-11-24,2024-11-24,2024-11-23
TXN0091,ORD9640,C1,R164,29.47,2024-10-23,2024-10-25,2024-10-25,2024-10-24
TXN0092,ORD1648,C6,R154,88.36,2024-04-19,2024-04-24,2024-04-24,2024-04-22
TXN0093,ORD6839,C2,R274,224.63,2024-07-29,2024-08-01,2024-08-01,2024-07-31
TXN0094,ORD8499,C5,R171,291.83,2024-01-03,2024-01-07,2024-01-07,2024-01-05
TXN0095,ORD9189,C1,R246,289.84,2024-07-18,2024-07-23,2024-07-23,2024-07-22
TXN0096,ORD7744,C6,R227,96.11,2024-10-24,2024-10-25,2024-10-25,2024-10-23
TXN0097,ORD9125,C2,R167,289.74,2024-02-14,2024-02-15,2024-02-15,2024-02-13
TXN0098,ORD6912,C1,R251,27.24,2024-01-15,2024-01-17,2024-01-17,2024-01-16
TXN0099,ORD4509,C3,R290,218.65,2024-10-02,2024-10-07,2024-10-07,2024-10-05
TXN0100,ORD9968,C4,R238,92.27,2024-03-14,2024-03-18,2024-03-18,2024-03-16
TXN0101,ORD3730,C2,R117,106.86,2024-05-10,2024-05-14,2024-05-14,2024-05-13
TXN0102,ORD5013,C2,R59,150.06,2024-07-05,2024-07-06,2024-07-06,2024-07-03
TXN0103,ORD3523,C2,R72,28.4,2024-08-28,2024-08-29,2024-08-29,2024-08-27
TXN0104,ORD6610,C6,R223,161.58,2024-11-09,2024-11-11,2024-11-11,2024-11-09
TXN0105,ORD4597,C6,R210,204.14,2024-03-27,2024-03-30,2024-03-30,2024-03-28
TXN0106,ORD6143,C2,R46,199.67,2024-05-29,2024-06-02,2024-06-02,2024-05-30
TXN0107,ORD0855,C4,R292,67.86,2024-08-15,2024-08-18,2024-08-18,2024-08-16
TXN0108,ORD2358,C3,R134,101.62,2024-10-05,2024-10-10,2024-10-10,2024-10-08
TXN0109,ORD3450,C3,R244,111.8,2024-05-12,2024-05-14,2024-05-14,2024-05-12
TXN0110,ORD6529,C1,R183,126.7,2024-04-22,2024-04-25,2024-04-25,2024-04-24
TXN0111,ORD4132,C6,R277,248.78,2024-06-25,2024-06-26,2024-06-26,2024-06-25
TXN0112,ORD4819,C3,R271,108.44,2024-01-11,2024-01-15,2024-01-15,2024-01-14
TXN0113,ORD5197,C5,R8,260.12,2024-05-03,2024-05-07,2024-05-07,2024-05-04
TXN0114,ORD8405,C1,R60,255.28,2024-01-13,2024-01-14,2024-01-14,2024-01-11
TXN0115,ORD9022,C3,R102,232.49,2024-11-03,2024-11-06,2024-11-06,2024-11-04
TXN0116,ORD6631,C6,R89,57.19,2024-08-26,2024-08-27,2024-08-27,2024-08-24
TXN0117,ORD9326,C6,R84,89.2,2024-01-25,2024-01-27,2024-01-27,2024-01-26
TXN0118,ORD9212,C1,R257,50.72,2024-06-16,2024-06-21,2024-06-21,2024-06-18
TXN0119,ORD6838,C2,R82,51.26,2024-09-01,2024-09-05,2024-09-05,2024-09-03
TXN0120,ORD0335,C5,R257,264.6,2024-08-28,2024-08-30,2024-08-30,2024-08-28
TXN0121,ORD6514,C2,R8,21.17,2024-03-02,2024-03-03,2024-03-03,2024-02-29
TXN0122,ORD1102,C5,R91,68.65,2024-05-29,2024-05-31,2024-05-31,2024-05-29
TXN0123,ORD1477,C2,R5,177.79,2024-02-06,2024-02-10,2024-02-10,2024-02-09
TXN0124,ORD1415,C1,R256,246.52,2024-06-27,2024-06-30,2024-06-30,2024-06-29
TXN0125,ORD7545,C4,R4,97.82,2024-08-27,2024-08-30,2024-08-30,2024-08-29
TXN0126,ORD8217,C5,R94,77.83,2024-05-01,2024-05-02,2024-05-02,2024-04-30
TXN0127,ORD5376,C4,R58,247.81,2024-11-15,2024-11-19,2024-11-19,2024-11-17
TXN0128,ORD4931,C6,R119,294.4,2024-09-03,2024-09-08,2024-09-08,2024-09-06
TXN0129,ORD6264,C4,R62,30.19,2024-11-06,2024-11-08,2024-11-08,2024-11-05
TXN0130,ORD9542,C2,R87,24.55,2024-07-13,2024-07-15,2024-07-15,2024-07-12
TXN0131,ORD7375,C6,R274,191.35,2024-06-08,2024-06-09,2024-06-09,2024-06-07
TXN0132,ORD1294,C6,R89,222.88,2024-11-19,2024-11-23,2024-11-23,2024-11-21
TXN0133,ORD0575,C6,R129,179.94,2024-08-29,2024-09-02,2024-09-02,2024-08-31
TXN0134,ORD2924,C6,R141,128.41,2024-04-26,2024-04-28,2024-04-28,2024-04-25
TXN0135,ORD0635,C3,R3,159.09,2024-10-03,2024-10-07,2024-10-07,2024-10-05
TXN0136,ORD7804,C3,R18,34.58,2024-10-08,2024-10-13,2024-10-13,2024-10-12
TXN0137,ORD6665,C1,R249,263.97,2024-03-16,2024-03-18,2024-03-18,2024-03-16
TXN0138,ORD3424,C5,R220,204.88,2024-05-03,2024-05-06,2024-05-06,2024-05-05
TXN0139,ORD3738,C6,R110,256.03,2024-06-18,2024-06-19,2024-06-19,2024-06-18
TXN0140,ORD6492,C3,R63,40.33,2024-07-16,2024-07-18,2024-07-18,2024-07-16
TXN0141,ORD2009,C2,R278,251.99,2024-10-12,2024-10-17,2024-10-17,2024-10-15
TXN0142,ORD9243,C4,R278,207.28,2024-07-23,2024-07-27,2024-07-27,2024-07-25
TXN0143,ORD3274,C1,R80,247.96,2024-05-31,2024-06-03,2024-06-03,2024-06-02
TXN0144,ORD9538,C2,R292,241.42,2024-06-27,2024-06-30,2024-06-30,2024-06-27
TXN0145,ORD6349,C5,R41,273.62,2024-03-24,2024-03-26,2024-03-26,2024-03-23
TXN0146,ORD0084,C2,R161,189.84,2024-04-20,2024-04-21,2024-04-21,2024-04-18
TXN0147,ORD2589,C5,R140,56.87,2024-09-29,2024-10-03,2024-10-03,2024-10-02
TXN0148,ORD7744,C4,R110,282.87,2024-07-12,2024-07-15,2024-07-15,2024-07-14
TXN0149,ORD6227,C6,R102,203.11,2024-09-28,2024-10-01,2024-10-01,2024-09-30
TXN0150,ORD0783,C4,R187,167.04,2024-04-22,2024-04-23,2024-04-23,2024-04-20
TXN0151,ORD0528,C4,R214,269.84,2024-05-18,2024-05-19,2024-05-19,2024-05-18
TXN0152,ORD3023,C6,R99,141.15,2024-07-27,2024-07-31,2024-07-31,2024-07-28
TXN0153,ORD3398,C4,R49,96.4,2024-09-28,2024-09-30,2024-09-30,2024-09-28
TXN0154,ORD3896,C6,R228,278.62,2024-09-27,2024-10-01,2024-10-01,2024-09-29
TXN0155,ORD6208,C2,R295,59.24,2024-05-13,2024-05-15,2024-05-15,2024-05-12
TXN0156,ORD0793,C5,R287,249.23,2024-10-15,2024-10-19,2024-10-19,2024-10-17
TXN0157,ORD9790,C6,R59,10.69,2024-05-21,2024-05-23,2024-05-23,2024-05-21
TXN0158,ORD8583,C4,R199,117.31,2024-10-06,2024-10-08,2024-10-08,2024-10-06
TXN0159,ORD9417,C3,R234,194.86,2024-08-20,2024-08-23,2024-08-23,2024-08-21
TXN0160,ORD9207,C1,R135,250.01,2024-09-16,2024-09-19,2024-09-19,2024-09-17
TXN0161,ORD5792,C6,R218,29.76,2024-05-05,2024-05-08,2024-05-08,2024-05-07
TXN0162,ORD6299,C3,R168,101.56,2024-07-04,2024-07-06,2024-07-06,2024-07-05
TXN0163,ORD0096,C5,R257,133.14,2024-02-02,2024-02-04,2024-02-04,2024-02-01
TXN0164,ORD4379,C6,R131,200.38,2024-07-03,2024-07-06,2024-07-06,2024-07-03
TXN0165,ORD4228,C3,R177,145.09,2024-02-22,2024-02-23,2024-02-23,2024-02-22
TXN0166,ORD5941,C6,R160,205.91,2024-08-18,2024-08-19,2024-08-19,2024-08-17
TXN0167,ORD9107,C1,R6,17.33,2024-09-10,2024-09-15,2024-09-15,2024-09-13
TXN0168,ORD6278,C4,R9,98.43,2024-01-06,2024-01-09,2024-01-09,2024-01-07
TXN0169,ORD9872,C5,R103,276.44,2024-07-15,2024-07-20,2024-07-20,2024-07-19
TXN0170,ORD9528,C6,R126,229.92,2024-04-25,2024-04-29,2024-04-29,2024-04-27
TXN0171,ORD0976,C5,R243,143.6,2024-11-09,2024-11-14,2024-11-14,2024-11-12
TXN0172,ORD8383,C6,R6,190.23,2024-02-15,2024-02-18,2024-02-18,2024-02-15
TXN0173,ORD0165,C6,R113,200.95,2024-07-08,2024-07-13,2024-07-13,2024-07-10
